date,reproducibility crisis,replicability crisis,replication crisis,Sum: rep... crisis
2004-12-31,0.0,0.0,0.0,0.0
2005-12-31,0.0,0.0,8.333333333333334,8.333333333333334
2006-12-31,0.0,0.0,0.0,0.0
2007-12-31,0.0,0.0,0.0,0.0
2008-12-31,0.0,0.0,3.5,3.5
2009-12-31,0.0,0.0,5.916666666666667,5.916666666666667
2010-12-31,0.0,0.0,2.1666666666666665,2.1666666666666665
2011-12-31,0.0,0.0,4.666666666666667,4.666666666666667
2012-12-31,0.0,0.0,5.833333333333333,5.833333333333333
2013-12-31,1.5833333333333333,2.0833333333333335,6.916666666666667,10.583333333333334
2014-12-31,1.4166666666666667,2.75,8.916666666666666,13.083333333333332
2015-12-31,3.3333333333333335,2.9166666666666665,11.333333333333334,17.583333333333336
2016-12-31,15.333333333333334,8.333333333333334,31.416666666666668,55.083333333333336
2017-12-31,18.833333333333332,9.833333333333334,52.0,80.66666666666666
2018-12-31,25.22222222222222,8.0,65.11111111111111,98.33333333333334
